id,from,to,priority,type,shape,name,spreadType,bidi,distance
24241790#2,cluster_1791264885_262470531_27411228_5451501357_5534476047_5534476048_588181343_860313203_9828188540_9830554045_9830554052,cluster_25954547_29221622_9044259979_9828188543_9828800567_9828800573_9828800580,10,highway.tertiary,"[3393.81, 1817.5]",Weinmeisterstraße,,,
24241797#1,cluster_196741367_29221514_3837048399_3837048403_3837048405_3837048407_3837048408_3837048410_3837048413_4685880745_5097270924,3269713294,3,highway.residential,"[3386.73, 1820.63]",Rosa-Luxemburg-Straße,,,
24242882,20246257,25662705,3,highway.residential,"[3782.66, 1431.56]",Behrenstraße,,,
24242892#1,26700887,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,3,highway.residential,"[3784.54, 1436.94]",Dorotheenstraße,center,,
24243052#4,6460260300,1387903273,3,highway.residential,"[3787.28, 1444.85]",Georgenstraße,center,,
24243052#5,1387903273,cluster_1864428531_1864428537_4489423699_4603453649,3,highway.residential,"[3890.03, 1390.62]",Georgenstraße,center,,
24243056,2071378250,262482669,3,highway.residential,"[3830.15, 1551.09]",Georgenstraße,center,,
24243107#0,2435547302,8725243860,10,highway.tertiary,"[3824.86, 1554.54]",Tucholskystraße,,,
24273323#1,6714506677,262819307,1,highway.service,"[3835.36, 1564.21]",,center,,
243854725#0,cluster_25662710_5984014363,7251440238,3,highway.residential,"[3830.15, 1551.09]",Charlottenstraße,center,,
243911462,1287970521,1287970481,1,highway.footway,"[3960.34, 1788.22]",,center,,
243911463,2512669673,2512669841,1,highway.footway,"[3954.72, 1794.4]",,center,,
243911464,1162829005,2512669841,1,highway.footway,"[2634.01, 1722.34]",,center,,
24540240,196761869,3182529382,1,highway.footway,"[2506.77, 1777.16]",Rathausstraße,center,,
247187765#0,29039356,cluster_10158381758_10158381759_26748927_9891315501_9919378676,10,highway.tertiary,"[2506.77, 1777.16]",Platz vor dem Neuen Tor,,,
24736587#0,268842245,243487598,1,highway.footway,"[4080.55, 1918.54]",,center,,
24736587#1,243487598,243487596,1,highway.footway,"[4074.54, 1921.41]",,center,,
24736588#0,243487596,1351709663,1,highway.footway,"[4149.36, 1767.29]",Bremer Weg,center,,
24736588#1,1351709663,268845900,1,highway.footway,"[3770.77, 1450.26]",Bremer Weg,center,,
24736594#1,243487598,390471285,1,highway.footway,"[3736.07, 1456.23]",Ahornsteig,center,,
248099627,2093326562,2549448133,18,railway.subway,"[3607.7, 1566.44]",C,center,,
