id,from,to,priority,type,shape,name,spreadType,bidi,distance
1037138981#1,9554198280,cluster_25661397_25662562_3767874527_3767874536_3767874549_3767875478_3767875479_8507892359,1,highway.footway,"2321.79,713.71 2309.69,709.59",,center,,
1037138982,cluster_25661397_25662562_3767874527_3767874536_3767874549_3767875478_3767875479_8507892359,9554198280,1,highway.footway,"2320.93,723.21 2321.79,713.71",,center,,
1037153016#1,9554352429,9554352432,1,highway.footway,"2828.55,685.51 2832.08,634.86 2826.42,634.33",,center,,
1037153019#0,9554352431,cluster_5632884658_9554352438,1,highway.footway,"2757.24,627.93 2656.96,620.01 2653.82,623.13 2649.04,676.72 2648.47,683.53",,center,,
1037153019#1,cluster_5632884658_9554352438,9554352436,1,highway.footway,"2648.47,683.53 2644.54,737.84",,center,,
1037153019#2,9554352436,9554202860,1,highway.footway,"2644.54,737.84 2646.26,745.45 2822.66,761.09",,center,,
1038014334,9560743613,9560743605,1,highway.footway,"3376.70,753.29 3382.82,757.74 3394.72,766.39 3396.50,767.68",,center,,
1040930906,cluster_3153662368_7416602122,9495761461,3,highway.residential,"3958.59,780.34 3933.76,798.46",Jüdenstraße,center,,
1040930907#0,3148263650,9700749457,3,highway.residential,"3934.88,868.48 3931.41,872.62 3926.23,872.65 3921.04,878.26",Jüdenstraße,,,
1040930909#1,cluster_2121324871_3151820959_5390538238_9583740891_9583740892,3157319028,1,highway.cycleway,"4104.11,989.90 4100.06,985.16 4055.21,951.60 4029.64,932.75",,center,,
104191063#1,1202223494,1202223226,1,highway.footway,"1837.21,1557.71 1845.55,1549.17 1848.00,1540.56",,center,,
104191063#2,1202223226,5528047705,1,highway.footway,"1848.00,1540.56 1844.69,1533.05 1842.31,1528.84 1840.06,1527.22 1838.98,1526.52",,center,,
104191076#0,303436670,8121551046,1,highway.footway,"2119.17,1738.66 2122.79,1741.38 2139.27,1750.48",,center,,
104191077,9986178359,1202223239,1,highway.footway,"1888.21,1676.21 1890.38,1676.40 1902.22,1677.49",,center,,
